高雄市苓雅區正大里武廟路43號45號1樓 22.6301183,120.3313412 00:00 - 24:00
高雄市苓雅區武漢街72號 22.620776,120.328209 00:00 - 24:00
高雄市苓雅區青年一路6之8及6之9號 22.6246076,120.3156163 00:00 - 24:00
高雄市苓雅區林森二路79號 22.620824,120.306256 00:00 - 24:00
高雄市苓雅區興中一路138號 22.6177513,120.3104473 00:00 - 24:00
高雄市苓雅區晴朗里復興二路162號 22.620866,120.31018 00:00 - 24:00
高雄市苓雅區廣澤里文橫二路41號 22.616319,120.306114 00:00 - 24:00
高雄市苓雅區建國一路211號213號 22.6330484,120.3227927 00:00 - 24:00
高雄市苓雅區三多一路239號1樓 22.622274,120.330243 00:00 - 24:00
高雄市前鎮區一心一路406號 22.609529,120.314762 00:00 - 24:00
高雄市前鎮區后平路87號1樓 22.571494,120.321994 00:00 - 24:00
高雄市前鎮區瑞北路54號1樓及B1 22.60935,120.334254 00:00 - 24:00
高雄市前鎮區復興四路10號1樓 22.6046963,120.2995241 00:00 - 24:00
高雄市前鎮區復興三路150號1樓 22.6121124,120.3113212 00:00 - 24:00
高雄市前鎮區高雄加工出口區東一街7號 22.601625,120.291086 00:00 - 24:00
高雄市前鎮區草衙一路41號43號 22.584737,120.322048 00:00 - 24:00
高雄市前鎮區忠純里中華五路997號 22.602736,120.305862 00:00 - 24:00
高雄市前鎮區三多二路437號439號441號1樓 22.6176583,120.3156971 00:00 - 24:00
高雄市前鎮區鎮海里鎮海路17號1樓 22.592167,120.3178105 00:00 - 24:00
高雄市前鎮區鎮陽里前鎮街278號280號 22.5922014,120.3082489 00:00 - 24:00
高雄市前鎮區鎮興路170號 22.5924023,120.3120328 00:00 - 24:00
高雄市橋頭區東林里里林東路20號 22.7625902,120.2942735 00:00 - 24:00
高雄市橋頭區甲北里甲圍路71號 22.74308,120.296024 00:00 - 24:00
高雄市橋頭區仕隆里成功南路151號1樓 22.752196,120.312850 00:00 - 24:00
高雄市燕巢區中民路712號714號 22.793272,120.358769 00:00 - 24:00
高雄市燕巢區安招里安東街380號 22.790968,120.343252 00:00 - 24:00
高雄市燕巢區深中路58號1樓 22.772457,120.399380 00:00 - 24:00
高雄市燕巢區橫山里橫山路86號 22.7650375,120.3746385 00:00 - 24:00
高雄市旗津區中洲三路579號 22.6074698,120.2726516 00:00 - 24:00
高雄市小港區坪頂里大平路192號196號1樓 22.562788,120.3891747 00:00 - 24:00
高雄市小港區孔宅里高鳳路332號 22.579066,120.371734 00:00 - 24:00
高雄市小港區山明里水秀路59號 22.563719,120.3668148 00:00 - 24:00
高雄市小港區鳳森里鳳林路2-18號 22.524557,120.349082 00:00 - 24:00
